#goldschmidthappens
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Junk Yard Dog,Charlie Blackmon CF | COL ,29,82,111,578,34,17,0.324,9
Junk Yard Dog,Matt Kemp LF | LAD ,35,108,89,623,3,1,0.268,36
Junk Yard Dog,"Howie Kendrick LF | WAS ",8,40,65,487,1,10,0.255,196
Junk Yard Dog,Ketel Marte SS | ARI ,1,33,55,437,1,11,0.259,255
Junk Yard Dog,Johan Camargo 3B | ATL,0,0,0,0,2,0,0.000,9999
Junk Yard Dog,Matt Olson 1B | OAK ,0,0,3,21,17,0,0.095,1006
Junk Yard Dog,Daniel Murphy 2B | CHC ,25,104,88,531,19,5,0.346,14
Junk Yard Dog,Asdrubal Cabrera SS | PHI,23,62,65,521,2,5,0.280,108
Junk Yard Dog,Alex Bregman 3B | HOU ,8,34,31,201,27,2,0.264,313
Junk Yard Dog,Mitch Haniger RF | SEA ,5,17,9,109,9,0,0.229,559
Junk Yard Dog,George Springer CF | HOU ,29,82,116,644,27,9,0.261,35
,TOTALS,243,785,843,5583,205,66,0.284,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
Junk Yard Dog,Max Scherzer SP | WAS ,30,2.96,0.97,228.3,284,0,5
Junk Yard Dog,Charlie Morton SP | HOU ,5,4.15,1.33,17.3,19,0,633
Junk Yard Dog,Trevor Williams SP | PIT ,1,7.82,1.89,12.7,11,0,933
Junk Yard Dog,Mike Fiers SP | OAK ,1,4.48,1.36,168.7,134,0,276
Junk Yard Dog,Edwin Jackson SP | OAK ,1,5.89,1.58,84.0,61,0,790
Junk Yard Dog,Alex Wood SP | LAD,2,3.73,1.26,60.3,66,0,478
Junk Yard Dog,Kenley Jansen RP | LAD ,26,1.83,0.67,68.7,104,47,50
Junk Yard Dog,Steven Matz SP | NYM ,2,3.40,1.21,132.3,129,0,192
Junk Yard Dog,Sean Doolittle RP | WAS ,10,3.23,1.05,39.0,45,4,381
,TOTALS,78,3.73,1.17,811.3,853,51,
Old Block
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Old Block,Luis Urias SS | SD ,0,0,0,0,1,0,0.000,9999
Old Block,Tyler White 1B | HOU ,8,28,24,249,2,1,0.217,423
Old Block,Luke Voit 1B | NYY ,0,0,0,0,1,0,0.000,9999
Old Block,Tyler O'Neill LF | STL,0,0,0,0,4,0,0.000,9999
Old Block,Jean Segura SS | SEA ,20,64,102,637,21,33,0.319,10
Old Block,Jose Miguel Fernandez 2B | LAA ,0,0,0,0,1,0,0.000,9999
Old Block,David Dahl LF | COL ,7,24,42,222,6,5,0.315,254
Old Block,Paul DeJong SS | STL,0,0,0,0,10,0,0.000,9999
Old Block,Carlos Gonzalez RF | COL ,25,100,87,584,2,2,0.298,42
Old Block,Yadier Molina C | STL ,8,58,56,534,13,3,0.307,155
Old Block,Francisco Mejia C | SD ,0,0,0,0,1,0,0.000,9999
Old Block,Maikel Franco 3B | PHI ,25,88,67,581,1,1,0.255,103
Old Block,Corey Dickerson LF | PIT ,24,70,57,510,7,0,0.245,149
Old Block,Andrew McCutchen CF | NYY ,24,79,81,598,23,6,0.256,83
Old Block,Jose Martinez LF | STL ,0,1,4,16,3,0,0.438,747
,TOTALS,141,512,520,3931,96,51,0.279,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
Old Block,"Yu Darvish SP | CHC ",23,3.41,1.12,100.3,132,0,197
Old Block,Derek Holland SP | SF,1,4.95,1.41,107.3,67,0,501
Old Block,Trevor Richards SP | MIA ,1,0.00,0.00,0.0,0,0,9999
Old Block,Jose Leclerc RP | TEX ,4,1.80,1.60,15.0,15,0,676
Old Block,Jaime Barria SP | LAA ,1,0.00,0.00,0.0,0,0,9999
Old Block,Eric Lauer SP | SD ,2,0.00,0.00,0.0,0,0,9999
Old Block,Kyle Freeland SP | COL ,4,0.00,0.00,0.0,0,0,9999
Old Block,Sean Newcomb SP | ATL ,4,0.00,0.00,0.0,0,0,9999
Old Block,"Chad Kuhl SP | PIT ",1,4.20,1.32,70.7,53,0,443
Old Block,Anibal Sanchez SP | ATL ,1,5.87,1.46,153.3,135,0,578
Old Block,Mike Soroka SP | ATL ,1,0.00,0.00,0.0,0,0,9999
Old Block,Blake Treinen RP | OAK ,9,2.28,1.22,67.0,63,1,319
